time,fabrikkanal_q_m3s
2026-01-02T22:45:00,6.291
2026-01-02T23:00:00,6.309
2026-01-02T23:15:00,6.222
2026-01-02T23:30:00,6.15
2026-01-02T23:45:00,6.199
2026-01-03T00:00:00,6.211
2026-01-03T00:15:00,6.303
2026-01-03T00:30:00,6.296
2026-01-03T00:45:00,6.577
2026-01-03T01:00:00,6.528
2026-01-03T01:15:00,7.015
2026-01-03T01:30:00,7.265
2026-01-03T01:45:00,7.175
2026-01-03T02:00:00,7.25
2026-01-03T02:15:00,7.28
2026-01-03T02:30:00,7.239
2026-01-03T02:45:00,7.204
2026-01-03T03:00:00,7.192
2026-01-03T03:15:00,7.237
2026-01-03T03:30:00,7.259
2026-01-03T03:45:00,7.251
2026-01-03T04:00:00,7.209
2026-01-03T04:15:00,7.141
2026-01-03T04:30:00,7.128
2026-01-03T04:45:00,7.263
2026-01-03T05:00:00,7.291
2026-01-03T05:15:00,7.538
2026-01-03T05:30:00,7.932
2026-01-03T05:45:00,8.004
2026-01-03T06:00:00,7.903
2026-01-03T06:15:00,7.867
2026-01-03T06:30:00,7.912
2026-01-03T06:45:00,7.95
2026-01-03T07:00:00,7.977
2026-01-03T07:15:00,7.94
2026-01-03T07:30:00,7.897
2026-01-03T07:45:00,7.9
2026-01-03T08:00:00,7.91
2026-01-03T08:15:00,7.952
2026-01-03T08:30:00,7.986
2026-01-03T08:45:00,7.987
2026-01-03T09:00:00,7.943
2026-01-03T09:15:00,7.96
2026-01-03T09:30:00,8.014
2026-01-03T09:45:00,7.984
2026-01-03T10:00:00,7.954
2026-01-03T10:15:00,7.924
2026-01-03T10:30:00,7.997
2026-01-03T10:45:00,7.963
2026-01-03T11:00:00,8.033
2026-01-03T11:15:00,8.032
2026-01-03T11:30:00,8.062
2026-01-03T11:45:00,8.085
2026-01-03T12:00:00,8.082
2026-01-03T12:15:00,8.045
2026-01-03T12:30:00,8.021
2026-01-03T12:45:00,7.998
2026-01-03T13:00:00,8.002
2026-01-03T13:15:00,7.944
2026-01-03T13:30:00,8.082
2026-01-03T13:45:00,8.096
2026-01-03T14:00:00,8.059
2026-01-03T14:15:00,8.095
2026-01-03T14:30:00,8.124
2026-01-03T14:45:00,8.19
2026-01-03T15:00:00,8.145
2026-01-03T15:15:00,8.071
2026-01-03T15:30:00,8.143
2026-01-03T15:45:00,8.214
2026-01-03T16:00:00,8.156
2026-01-03T16:15:00,8.116
2026-01-03T16:30:00,8.122
2026-01-03T16:45:00,8.113
2026-01-03T17:00:00,8.144
2026-01-03T17:15:00,8.154
2026-01-03T17:30:00,8.148
2026-01-03T17:45:00,8.144
2026-01-03T18:00:00,8.108
