collected_at,tuerkheim_q_m3s,tuerkheim_time,oberhausen_q_m3s,oberhausen_q_time,oberhausen_w_cm,oberhausen_w_time,rain_kempten_mm,rain_marktoberdorf_mm,rain_augsburg_mm,temp_kempten_c,forecast_rain_kempten_24h_mm,forecast_rain_kempten_6h_mm
2026-05-13T20:32:49.834416+00:00,,,,,,,0.0,0.0,0.0,8.8,7.2,0.3
2026-05-13T20:46:29.812731+00:00,6.95,2026-05-13T22:30:00,3.8,2026-05-13T22:30:00,56.0,2026-05-13T22:30:00,0.0,0.0,0.0,8.7,7.2,0.3
2026-05-13T21:59:32.219002+00:00,5.93,2026-05-13T23:45:00,3.8,2026-05-13T23:45:00,56.0,2026-05-13T23:45:00,0.0,0.0,0.2,8.5,7.2,1.2
2026-05-13T23:14:30.601787+00:00,5.32,2026-05-14T01:00:00,3.8,2026-05-14T01:00:00,56.0,2026-05-14T01:00:00,0.0,0.0,0.3,7.8,6.8,3.5
2026-05-14T00:17:40.247491+00:00,5.03,2026-05-14T02:00:00,3.62,2026-05-14T02:15:00,55.0,2026-05-14T02:15:00,0.4,0.1,0.0,7.1,6.8,3.5
2026-05-14T04:28:04.239126+00:00,5.93,2026-05-14T06:15:00,3.8,2026-05-14T06:15:00,56.0,2026-05-14T06:15:00,0.1,0.0,0.0,5.8,2.9,2.6999999999999997
